Velocity (Spirals), Velocity (Lines),Pressure(Spirals),Pressure(Lines),Acceleration(Lines),Jerk(Lines),Jerk(Spirals),Acceleration(Spirals),No. of Time Velocity Changes(Spirals),No. of Times Velocity Changes(Lines),No. of Detected Peaks in Velocity Spectogram(Lines),No. of Detected Peaks in Velocity Spectogram(Spirals),SARIMA(Unravelled Spiral),Exponential Smoothing(Unravelled Spiral),Standard Deviation(Lines),Fractal Dimension(Lines),Approximate Entropy(Lines),Singular Value Decomposition(Lines),Spectral Entropy(Lines),Autoregression(Lines),Permutation Entropy(Lines),Standard Deviation(Spirals),Fractral Dimension(Spiral),Approximate Entropy(Spiral),Singular Value Decomposition(Spiral),Sample Entropy(Spiral),Spectral Entropy(Spiral),Permutation Entropy(Spiral),Autoregression(Spiral),Label
225.5862274,461.5790956,2289.007013,1922.249448,2272.159198,86660.48103,44032.36914,1420.84382,347.5,106.25,6,9,538.4316704,544.1553087,18547.86932,1.1228355,0.236474752,0.567489873,0.614381086,50511.97912,0.271389588,14996.2799,1.152495241,0.283097589,0.324383439,0.324383439,0.299211859,0.965636133,89104.23356,H
253.4024723,1067.256019,3386.007115,2143.886617,11372.17596,1265365.523,355523.0449,4107.602185,563.3333333,174.6666667,5,22.90909091,714.0204083,570.2245172,21622.53847,1.075586133,0.283823186,0.528457159,0.583432567,60063.11578,0.322756959,38477.1393,1.03269786,0.281521456,0.260097235,0.260097235,0.244368808,0.977080223,187362.3313,H
330.2402845,861.8761116,3917.349206,2879.388979,7830.528362,791798.6047,220162.2127,2946.200004,440.5,190,4.5,2,439.7335121,491.4926246,26088.04737,1.063862519,0.352774738,0.501794641,0.597861744,79000.42085,0.357646706,20781.84596,1.080243369,0.331111218,0.29931626,0.29931626,0.137935744,0.965636133,101108.0728,H
283.8823955,277.5939731,3720.334576,3800.927007,5222.561818,438601.1892,347901.1787,4946.474121,354.4,504.5,29.58333333,16.55555556,546.266967,564.1178955,88369.71001,1.035625651,0.149881373,0.270589292,0.417875537,339042.9223,0.487703231,88369.71001,1.035625651,0.149881373,0.114081162,0.114081162,0.417875537,0.487703231,339042.9223,Off
307.1595748,562.2801389,3798.133916,3297.233333,5976.261828,619046.0725,290647.7964,3473.182185,325.5,463,2,17,848.0337251,561.0962484,40453.51475,1.008124589,0.12599998,0.421690469,0.597732361,135021.3307,0.205592508,29517.36411,1.03219548,0.332897867,0.302827128,0.302827128,0.298647571,0.988530923,142389.3499,H
220.3005147,195.3901647,3993.238651,3680.677833,3401.079912,352279.2846,316643.6501,4194.755125,1066.5,856,13.125,19,487.7662301,550.1136246,112439.3233,0.999912495,0.068446631,0.274398246,0.478422592,432349.4114,0.223505159,112439.3233,0.999912495,0.068446631,0.055450224,0.055450224,0.478422592,0.223505159,432349.4114,Off
317.1596036,607.8631825,3767.899625,3111.922819,6280.362906,685540.0951,296198.6867,3475.33856,634.5,409,2,23.5,844.3234195,579.4730365,37427.92725,1.015263681,0.127919265,0.449370262,0.601298307,126170.4148,0.216396932,28361.6492,1.03899028,0.312752628,0.272683997,0.272683997,0.301463441,0.994907878,139836.9656,H
285.9254418,319.8074999,3846.737191,3860.041397,6608.202433,523968.3021,351348.6433,4877.599976,1616,465.5,38.4,23.125,540.7963695,552.0036232,81482.62597,1.046812234,0.154918702,0.259596793,0.380294377,309186.7721,0.439496987,81482.62597,1.046812234,0.154918702,0.110269361,0.110269361,0.380294377,0.439496987,309186.7721,Off
188.3860256,347.9953338,2699.876884,2158.997468,3189.904479,244021.3081,144199.0586,2272.850719,753.5,569,1,24.63636364,810.7944736,541.7056396,46848.50419,1.0188715,0.099340126,0.398270542,0.56985497,170191.4594,0.12565805,32883.38177,1.034294357,0.317087225,0.272831785,0.272831785,0.199236427,0.984463077,161997.7246,H
312.7812639,457.7129248,2192.93384,2267.827586,4778.293589,541180.9518,288607.9028,3415.535659,652.5,1146,1,6.333333333,572.1317119,579.1804555,44818.4611,1.016295047,0.098026707,0.387581955,0.572185583,158975.0814,0.176776697,23753.82024,1.023412846,0.316791672,0.3351331,0.3351331,0.290588915,0.95793245,136153.7695,H
159.503355,161.8262628,3454.203831,3927.385179,3416.342767,349749.3733,290517.389,3055.520195,1251,743.25,7.5,16.77777778,528.8372975,545.6738953,136618.9437,1.00319259,0.064567155,0.257626169,0.461388894,523763.6127,0.346584035,136618.9437,1.00319259,0.064567155,0.051165865,0.051165865,0.461388894,0.346584035,523763.6127,Off
